player_name;club;position;height_cm;weight_kg;age;nationality;season;matches_played;matches_started;minutes_played;points_scored;tries;penalties_scored;penalty_attempts;penalty_success_rate;conversion_attempts;conversion_success_rate;balls_kicked;meters_kicked;tackles_broken;passes;carries;meters_carried;line_breaks;offloads;drop_success_rate;turnovers_won;interceptions;tackles_made;tackle_success_rate;penalties_conceded;yellow_cards;orange_cards;red_cards
Antoine Dupont;Stade Toulousain;Demi de mêlée;175;85;26;France;2023-2024;14;9;865;30;6;0;0;0;0;0;102;3049;39;561;177;1103;9;31;0;1;0;62;75;4;0;0;0
Antoine Dupont;Stade Toulousain;Demi de mêlée;175;85;27;France;2024-2025;3;2;195;15;3;0;0;0;0;0;26;723;14;138;33;245;1;8;0;0;0;15;79;2;0;0;0
Romain Ntamack;Stade Toulousain;Ouvreur;186;91;24;France;2023-2024;4;3;254;2;0;0;0;0;3;33;14;459;13;59;27;252;3;0;0;0;0;15;79;2;0;0;0
Romain Ntamack;Stade Toulousain;Ouvreur;186;91;25;France;2024-2025;12;12;722;39;4;1;1;100;10;90;53;1463;16;181;53;466;3;6;0;1;0;56;76;3;0;0;0
Thomas Ramos;Stade Toulousain;Arrière;178;87;28;France;2023-2024;13;13;914;155;5;20;20;74;72;76;94;3153;36;201;141;883;12;15;0;0;0;37;62;2;0;0;0
Thomas Ramos;Stade Toulousain;Arrière;178;87;29;France;2024-2025;14;14;1011;219;4;33;33;84;90;82;88;3000;36;203;126;1099;10;23;0;1;2;30;57;4;1;0;0
Juan Cruz Mallia;Stade Toulousain;Arrière;182;89;27;Argentina;2023-2024;15;13;1012;86;6;4;4;66;37;70;54;1561;25;174;108;1070;9;23;0;2;1;52;72;3;1;0;0
Juan Cruz Mallia;Stade Toulousain;Arrière;182;89;28;Argentina;2024-2025;16;15;1126;115;8;7;7;77;41;82;68;1952;17;231;130;939;8;12;0;0;0;80;75;7;0;0;0
Matthis Lebel;Stade Toulousain;Ailier;184;90;24;France;2023-2024;17;15;1148;50;10;0;0;0;0;0;20;576;51;64;158;1499;19;8;0;0;0;27;61;5;0;0;0
Matthis Lebel;Stade Toulousain;Ailier;184;90;25;France;2024-2025;23;18;1478;5;1;0;0;0;0;0;19;499;52;78;137;1255;13;16;0;0;2;61;75;6;1;0;0
Pierre-Louis Barassi;Stade Toulousain;Centre;187;99;25;France;2023-2024;18;12;1025;15;3;0;0;0;0;0;0;0;22;51;86;713;6;10;0;1;0;86;70;2;0;0;0
Pierre-Louis Barassi;Stade Toulousain;Centre;187;99;26;France;2024-2025;14;11;835;20;4;0;0;0;0;0;3;91;31;47;77;710;11;5;0;3;1;85;83;1;0;0;0
Jack Willis;Stade Toulousain;3ème ligne;170;112;26;England ;2023-2024;14;11;780;15;3;0;0;0;0;0;0;0;17;36;126;623;2;12;0;11;1;105;83;10;1;0;0
Jack Willis;Stade Toulousain;3ème ligne;170;112;27;England ;2024-2025;20;18;1162;40;8;0;0;0;0;0;1;0;38;72;232;1181;5;22;0;28;1;131;78;12;1;0;0
François Cros;Stade Toulousain;3ème ligne;190;111;29;France ;2023-2024;12;10;778;0;0;0;0;0;0;0;0;0;11;35;62;295;0;4;0;1;0;104;88;4;0;0;0
François Cros;Stade Toulousain;3ème ligne;190;111;30;France;2024-2025;13;12;700;0;0;0;0;0;0;0;0;0;11;28;59;337;2;1;0;2;0;75;80;6;0;0;0
Emmanuel Meafou;Stade Toulousain;2ème ligne;203;145;25;France;2023-2024;14;9;741;25;5;0;0;0;0;0;0;0;12;74;117;549;1;17;0;2;0;83;88;7;0;0;0
Emmanuel Meafou;Stade Toulousain;2ème ligne;203;145;26;France ;2024-2025;16;8;712;5;1;0;0;0;0;0;0;0;9;53;99;475;0;10;0;3;0;69;78;7;1;0;0
Peato Mauvaka;Stade Toulousain;Talonneur;184;112;26;France;2023-2024;12;6;512;25;5;0;0;0;0;0;1;22;10;30;59;321;1;3;0;3;0;60;80;2;0;0;0
Peato Mauvaka;Stade Toulousain;Talonneur;184;112;27;France;2024-2025;9;6;402;25;5;0;0;0;0;0;0;0;5;30;42;174;0;4;0;1;0;49;86;6;0;0;0
Cyril Baille;Stade Toulousain;Pilier;182;118;30;France;2023-2024;12;5;473;0;0;0;0;0;0;0;0;0;8;43;85;322;1;11;0;0;0;41;87;2;0;0;0
Cyril Baille;Stade Toulousain;Pilier;182;118;31;France ;2024-2025;9;3;297;0;0;0;0;0;0;0;1;28;4;18;25;128;0;1;0;0;0;41;93;2;0;0;0
Dorian Aldegheri;Stade Toulousain;Pilier;180;119;30;France;2023-2024;13;9;607;0;0;0;0;0;0;0;0;0;1;10;25;87;0;1;0;1;0;49;86;10;0;0;0
Dorian Aldegheri;Stade Toulousain;Pilier;180;119;31;France;2024-2025;19;12;805;0;0;0;0;0;0;0;1;5;2;22;34;138;0;0;0;3;0;68;73;19;2;0;0
Maxime Lucu;Union Bordeaux-Bègles;Demi de mêlée;177;83;30;France;2023-2024;19;17;1324;118;1;23;23;69;68;66;171;5753;24;897;109;428;5;14;0;2;0;154;71;1;0;0;0
Maxime Lucu;Union Bordeaux-Bègles;Demi de mêlée;177;83;31;France;2024-2025;20;16;1244;83;4;15;15;100;19;89;161;5484;20;969;71;400;6;8;0;1;0;149;76;2;0;0;0
Matthieu Jalibert;Union Bordeaux-Bègles;Ouvreur;184;84;25;France ;2023-2024;14;14;975;76;1;12;12;92;34;82;134;4423;24;354;166;1067;6;9;50;0;0;57;58;5;0;0;0
Matthieu Jalibert;Union Bordeaux-Bègles;Ouvreur;184;84;26;France;2024-2025;19;17;1170;153;5;14;14;87;80;71;172;4960;39;381;144;1237;19;33;0;1;2;71;60;4;0;0;0
Cyril Cazeaux;Union Bordeaux-Bègles;3ème ligne;198;117;28;France;2023-2024;15;12;1008;0;0;0;0;0;0;0;0;0;4;47;78;418;1;1;0;0;0;150;85;10;1;0;0
Cyril Cazeaux;Union Bordeaux-Bègles;3ème ligne;198;117;29;France ;2024-2025;24;18;1461;15;3;0;0;0;0;0;3;124;9;64;118;608;1;6;0;1;1;215;83;12;0;0;0
Damian Penaud;Union Bordeaux-Bègles;Ailier;192;95;27;France;2023-2024;16;15;1132;70;14;0;0;0;0;0;32;968;37;82;100;1175;16;12;0;1;3;55;69;4;0;0;0
Damian Penaud;Union Bordeaux-Bègles;Ailier;192;95;28;France;2024-2025;15;15;1107;55;11;0;0;0;0;0;31;911;44;96;105;932;12;28;0;0;4;68;67;1;1;0;0
Yoram Moefana;Union Bordeaux-Bègles;Centre;182;97;23;France;2023-2024;17;16;1318;15;3;0;0;0;0;0;7;83;34;93;139;1091;6;17;0;0;0;132;68;10;0;0;0
Yoram Moefana;Union Bordeaux-Bègles;Centre;182;97;24;France;2024-2025;14;12;840;5;1;0;0;0;0;0;9;169;30;76;96;758;6;13;0;1;1;101;74;4;0;0;1
Louis Bielle-Biarrey;Union Bordeaux-Bègles;Ailier;184;79;20;France ;2023-2024;15;12;1011;25;5;0;0;0;0;0;43;1570;28;88;106;933;10;3;0;1;0;54;67;4;0;0;0
Louis Bielle-Biarrey;Union Bordeaux-Bègles;Ailier;184;79;21;France ;2024-2025;16;16;1160;65;13;0;0;0;0;0;38;1098;31;115;112;1177;19;13;0;0;1;59;69;1;0;0;0
Nicolas Depoortère;Union Bordeaux-Bègles;Centre;193;87;20;France;2023-2024;22;19;1537;30;6;0;0;0;0;0;12;302;34;70;137;1303;12;12;0;2;0;156;75;3;0;0;0
Nicolas Depoortère;Union Bordeaux-Bègles;Centre;193;87;21;France;2024-2025;19;16;1183;45;9;0;0;0;0;0;16;416;25;70;144;1203;12;10;0;2;0;137;75;7;1;0;0
Cameron Woki;Union Bordeaux-Bègles;2ème ligne;197;109;25;France ;2023-2024;17;15;1201;0;0;0;0;0;0;0;2;26;11;110;65;349;2;5;0;7;1;141;80;23;2;0;0
Cameron Woki;Union Bordeaux-Bègles;2ème ligne;197;109;26;France;2024-2025;23;16;1448;25;5;0;0;0;0;0;1;40;22;130;92;698;9;5;0;5;0;178;82;19;4;0;0
Boris Palu;Union Bordeaux-Bègles;3ème ligne;194;113;27;France;2023-2024;22;10;996;0;0;0;0;0;0;0;0;0;16;57;104;510;1;3;0;2;1;140;86;11;1;0;1
Boris Palu;Union Bordeaux-Bègles;3ème ligne;194;113;28;France;2024-2025;23;14;1180;5;1;0;0;0;0;0;1;14;13;67;115;499;0;8;0;2;0;156;90;21;0;0;0
Maxime Lamothe;Union Bordeaux-Bègles;Talonneur;183;109;25;France ;2023-2024;25;19;1303;35;7;0;0;0;0;0;3;99;12;46;114;619;1;2;0;7;0;203;85;9;1;0;0
Maxime Lamothe;Union Bordeaux-Bègles;Talonneur;183;109;26;France;2024-2025;22;14;967;25;5;0;0;0;0;0;4;97;24;54;81;500;2;7;0;1;0;161;83;13;0;0;0
Jefferson Poirot;Union Bordeaux-Bègles;Pilier;181;117;31;France ;2023-2024;19;11;737;10;2;0;0;0;0;0;0;0;0;24;53;224;0;1;0;0;0;121;87;16;0;0;0
Jefferson Poirot;Union Bordeaux-Bègles;Pilier;181;117;33;France;2024-2025;20;15;931;10;2;0;0;0;0;0;0;0;5;23;59;232;1;2;0;3;0;159;85;14;2;0;0
Ihaia West;Stade Rochelais;Ouvreur;175;84;31;New Zealand;2023-2024;23;11;1070;9;0;1;1;25;8;50;58;1606;11;204;67;506;4;6;0;0;1;60;71;1;0;0;0
Ihaia West;Stade Rochelais;Ouvreur;175;84;32;New Zealand;2024-2025;17;9;751;45;0;5;5;71;26;76;55;1861;4;190;28;204;1;1;0;0;0;37;71;2;0;0;0
Nolann Le Garrec;Stade Rochelais;Demi de mêlée;175;75;21;France;2023-2024;19;17;1190;112;7;9;9;69;45;75;124;3217;34;1045;126;661;17;12;0;1;3;73;62;4;0;0;0
Nolann Le Garrec;Stade Rochelais;Demi de mêlée;175;75;22;France;2024-2025;19;18;1398;228;11;37;37;82;85;80;148;4454;29;1104;125;821;12;16;0;0;2;88;63;6;0;0;0
Jules Favre ;Stade Rochelais;Ailier;181;93;24;France;2023-2024;25;21;1573;25;5;0;0;0;0;0;9;243;17;96;115;824;6;4;0;3;0;127;73;7;0;0;0
Jules Favre ;Stade Rochelais;Ailier;181;93;26;France;2024-2025;22;18;1421;10;2;0;0;0;0;0;13;260;21;74;104;789;8;7;0;1;0;110;71;3;0;0;0
Dillyn Leyds;Stade Rochelais;Arrière;183;88;31;South Africa;2023-2024;20;19;1527;37;6;1;1;33;4;50;30;787;30;76;127;1070;13;4;0;1;1;68;65;11;1;0;0
Dillyn Leyds;Stade Rochelais;Arrière;183;88;32;South Africa;2024-2025;21;20;1617;40;8;0;0;0;1;0;44;1493;25;131;139;1234;15;12;0;2;0;68;70;8;1;0;0
Ulupano Seuteni;Stade Rochelais;Centre;187;103;31;Australia;2023-2024;17;17;1234;15;3;0;0;0;0;0;11;280;17;51;75;575;2;6;0;2;0;77;63;3;0;0;0
Ulupano Seuteni;Stade Rochelais;Centre;187;103;31;Australia;2024-2025;18;18;1315;5;1;0;0;0;0;0;8;228;28;112;111;861;6;16;0;0;1;104;73;8;0;0;0
Jack Nowell;Stade Rochelais;Ailier;180;98;30;England ;2023-2024;21;20;1531;15;3;0;0;0;0;0;22;916;46;51;154;1176;5;13;0;1;0;80;66;12;1;0;0
Jack Nowell;Stade Rochelais;Ailier;180;98;31;England ;2024-2025;18;18;1409;20;4;0;0;0;0;0;24;767;62;81;151;1216;13;16;0;2;1;89;81;11;1;0;0
Grégory Alldritt;Stade Rochelais;3ème ligne;191;113;26;France;2023-2024;12;10;828;10;2;0;0;0;0;0;1;9;14;70;140;773;2;4;0;6;0;144;87;5;0;0;0
Grégory Alldritt;Stade Rochelais;3ème ligne;191;113;27;France;2024-2025;15;15;978;5;1;0;0;0;0;0;0;0;36;113;183;826;1;14;0;12;0;127;77;13;0;0;0
Uini Atonio;Stade Rochelais;Pilier;196;145;33;New Zealand;2023-2024;15;10;705;5;1;0;0;0;0;0;0;0;3;34;51;232;0;2;0;1;0;49;78;10;0;0;1
Uini Atonio;Stade Rochelais;Pilier;196;145;34;New Zealand;2024-2025;16;12;734;0;0;0;0;0;0;0;1;1;3;34;70;279;0;1;0;0;0;46;75;17;0;0;0
Will Skelton;Stade Rochelais;2ème ligne;203;145;31;New Zealand;2023-2024;14;12;934;5;1;0;0;0;0;0;0;0;32;53;120;712;4;12;0;3;0;95;85;14;1;0;0
Will Skelton;Stade Rochelais;2ème ligne;203;145;32;New Zealand;2024-2025;20;17;1222;5;1;0;0;0;0;0;0;0;25;64;143;646;3;24;0;6;0;116;84;15;2;0;0
Pierre Bourgarit;Stade Rochelais;Talonneur;184;108;26;France;2023-2024;4;2;218;15;3;0;0;0;0;0;1;37;0;5;25;117;2;1;0;1;0;20;69;2;1;0;0
Pierre Bourgarit;Stade Rochelais;Talonneur;184;108;27;France;2024-2025;9;5;422;15;3;0;0;0;0;0;0;0;12;23;52;309;4;0;0;5;0;57;88;5;1;0;0
Baptiste Serin;RC Toulon;Demi de mêlée;182;83;29;France;2023-2024;17;11;913;23;3;2;2;66;6;50;143;3868;17;535;86;391;6;6;0;1;1;99;75;9;0;0;0
Baptiste Serin;RC Toulon;Demi de mêlée;182;83;30;France;2024-2025;24;19;1354;101;7;12;12;85;32;84;223;6556;29;965;121;646;9;17;0;2;3;165;85;16;2;0;0
Melvyn Jaminet;RC Toulon;Ouvreur;180;80;24;France;2023-2024;15;15;1360;225;4;49;49;144;97;134;143;5406;40;124;201;1767;14;23;0;0;0;22;58;3;0;0;0
Melvyn Jaminet;RC Toulon;Ouvreur;180;80;25;France;2024-2025;11;7;594;110;4;16;16;66;47;78;68;2899;26;42;77;735;11;3;0;0;0;10;50;2;0;0;0
Gabin Villière;RC Toulon;Ailier;180;88;27;France;2023-2024;13;13;1019;30;6;0;0;0;0;0;10;262;31;40;88;761;5;10;0;8;3;75;67;11;1;0;0
Gabin Villière;RC Toulon;Ailier;180;88;28;France;2024-2025;16;15;1091;20;4;0;0;0;0;0;14;310;50;48;99;919;12;22;0;5;1;84;67;16;0;0;0
Gaël Drean;RC Toulon;Ailier;184;84;23;France;2023-2024;17;17;1301;30;6;0;0;0;0;0;11;351;23;32;94;1003;17;2;0;1;1;84;72;4;0;0;0
Gaël Drean;RC Toulon;Ailier;184;84;24;France;2024-2025;16;16;1215;60;12;0;0;0;0;0;13;468;32;19;79;814;14;6;0;2;0;54;61;5;0;0;0
Jean Baptiste Gros;RC Toulon;Pilier;186;112;24;France;2023-2024;12;6;502;0;0;0;0;0;0;0;0;0;5;7;43;185;0;0;0;0;0;83;85;10;1;0;0
Jean Baptiste Gros;RC Toulon;Pilier;186;112;25;France;2024-2025;13;10;610;0;0;0;0;0;0;0;0;0;3;12;44;211;1;4;0;0;0;95;86;10;0;0;1
Setariki Tuicuvu;RC Toulon;Centre;175;94;28;Fiji;2023-2024;25;20;1519;30;6;0;0;0;0;0;15;463;31;67;107;943;8;9;0;4;1;106;72;7;1;0;0
Setariki Tuicuvu;RC Toulon;Centre;175;94;29;Fiji;2024-2025;21;11;1123;25;5;0;0;0;0;0;15;408;35;55;106;904;11;17;0;1;1;64;70;4;0;0;0
Charles Ollivon;RC Toulon;3ème ligne;199;114;30;France;2023-2024;12;11;841;5;1;0;0;0;0;0;0;0;10;70;94;466;4;12;0;0;0;129;82;9;1;0;0
Charles Ollivon;RC Toulon;3ème ligne;199;114;31;France;2024-2025;11;10;693;0;0;0;0;0;0;0;0;0;11;50;67;372;3;8;0;0;0;126;81;13;2;0;0
Komiti Junior Alainuuese;RC Toulon;2ème ligne;202;136;29;Samoa;2023-2024;19;14;1063;10;2;0;0;0;0;0;1;0;5;57;121;558;1;22;0;1;0;118;78;8;0;0;1
Komiti Junior Alainuuese;RC Toulon;2ème ligne;202;136;30;Samoa;2024-2025;22;12;1125;10;2;0;0;0;0;0;2;97;8;56;114;479;0;15;0;1;0;147;82;10;0;0;0
Esteban Abadie;RC Toulon;3ème ligne;188;100;25;France;2023-2024;17;16;1260;5;1;0;0;0;0;0;3;52;11;102;82;462;4;4;0;7;1;149;83;8;0;0;0
Esteban Abadie;RC Toulon;3ème ligne;188;100;26;France;2024-2025;22;20;1635;5;1;0;0;0;0;0;3;39;16;144;109;517;6;16;0;3;2;211;81;18;2;0;0
Beka Gigashvili;RC Toulon;Pilier;179;116;31;Georgia;2023-2024;21;17;1150;5;1;0;0;0;0;0;0;0;11;40;105;484;2;2;0;3;0;186;82;16;0;0;0
Beka Gigashvili;RC Toulon;Pilier;179;116;32;Georgia;2024-2025;15;12;769;10;2;0;0;0;0;0;0;0;6;24;64;305;0;2;0;1;0;117;80;6;0;0;0
Romain Buros;Union Bordeaux-Bègles;Arrière;187;90;26;France;2023-2024;23;21;1610;25;5;0;0;0;0;0;101;3687;38;133;230;1739;13;21;0;2;0;55;59;2;0;0;0
Romain Buros;Union Bordeaux-Bègles;Arrière;187;90;27;France ;2024-2025;17;16;1154;30;6;0;0;0;0;0;45;1637;22;141;154;1209;11;25;0;0;0;53;72;1;0;0;0
Paul Costes;Stade Toulousain;Centre;182;85;20;France;2023-2024;16;8;778;5;1;0;0;0;0;0;9;188;25;67;95;778;5;17;0;1;0;74;69;10;1;0;0
Paul Costes;Stade Toulousain;Centre;182;85;21;France ;2024-2025;18;14;1023;10;2;0;0;0;0;0;11;186;29;96;99;932;6;11;0;1;0;88;76;9;1;0;0
Max Spring;Racing 92;Arrière;173;75;22;France;2023-2024;21;16;1300;10;2;0;0;0;0;0;69;2345;45;303;162;1338;8;7;0;1;1;50;60;4;0;0;0
Max Spring;Racing 92;Arrière;173;75;23;France;2024-2025;22;18;1415;10;2;0;0;0;0;0;72;2397;69;113;173;1873;26;10;0;1;3;66;54;3;0;0;0
Vinaya Habosi;Racing 92;Ailier;184;100;23;France;2023-2024;10;9;632;5;1;0;0;0;0;0;7;217;25;12;61;643;2;4;0;4;0;35;74;3;0;0;0
Vinaya Habosi;Racing 92;Ailier;184;100;24;France;2024-2025;19;17;1324;15;3;0;0;0;0;0;10;265;45;36;153;1284;9;14;0;4;0;88;66;18;2;0;0
Josua Tuisova;Racing 92;Ailier;180;113;29;Fiji;2023-2024;5;5;363;10;2;0;0;0;0;0;0;0;10;18;48;422;4;5;0;0;1;16;76;1;0;0;0
Josua Tuisova;Racing 92;Ailier;180;113;30;Fiji;2024-2025;23;22;1560;15;3;0;0;0;0;0;6;212;82;60;186;1889;18;17;0;7;0;117;74;13;1;0;0
Gael Fickou;Racing 92;Centre;190;99;29;France;2023-2024;15;14;1119;10;2;0;0;0;0;0;14;475;27;94;100;889;4;9;0;3;0;107;75;9;0;0;0
